Customer Name,Office Name,Service Type,Customer ID,Contract ID
TechCorp Solutions,Downtown Branch,Premium,TECH001,CONT2024001
TechCorp Solutions,Downtown Branch,Standard,TECH001,CONT2024002
TechCorp Solutions,Uptown Branch,Enterprise,TECH001,CONT2024003
Global Industries,North Office,Premium,GLOB001,CONT2024010
Global Industries,South Office,Standard,GLOB001,CONT2024011
Innovation Labs,Tech Park,Enterprise,INNO001,CONT2024020
Innovation Labs,Research Center,Premium,INNO001,CONT2024021
Metro Services,Central Hub,Basic,METR001,CONT2024030
Digital Dynamics,Silicon Valley,Premium,DIGI001,CONT2024040
Digital Dynamics,Austin Office,Standard,DIGI001,CONT2024041
StartupCorp,WeWork Space,Basic,START001,CONT2024050
Enterprise Solutions,Corporate Tower,Enterprise,ENTER001,CONT2024060
